FISCAL_YEAR,MENU_NUM,MENU_ITEM,ENERGY_CONSUMPTION_CATEGORY,CORRECTION_CATEGORY_USAGE,CORRECTION_CATEGORY_RANGE,BASE_ENERGY_CONSUMPTION_RATE,CREATION_DATETIME,CREATOR
,1,自然採光を利用したシステムの導入,照明,他,,0.04,,
,2,自然通風を利用したシステムの導入,熱負荷,他,,0.033,,
,3,再生可能エネルギー・未利用エネルギーシステムの導入,全般,他,,0.007,,
,4,太陽熱を利用したシステムの導入,熱負荷,他,,0.001,,
,5,年間を通して安定した地中温度を利用したシステムの導入,熱負荷,他,,0.002,,
,6,高性能な建物外皮の導入,外皮,他,,0.68,,
,7,風除室、回転扉等による隙間風対策の導入,外皮,他,,0.04,,
,8,屋上緑化の導入,外皮,他,,0.02,,
,9,ブラインドの日射制御及びｽｹｼﾞｭｰﾙ制御の導入,外皮,他,,0.008,,
,10,壁面緑化の導入,外皮,他,,0.015,,
,11,高効率熱源機器の導入,熱源本体,空調,熱源,0.282,,
,12,高効率冷却塔の導入,熱源補機,空調,冷却塔,0.097,,
,13,高効率空調用ポンプの導入,熱源補機,空調,熱源,0.143,,
,14,蒸気ボイラーのエコノマイザーの導入,熱源本体,空調,蒸気ボイラー,0.013,,
,15,大温度差送水システムの導入,水搬送,空調,熱源,0.24,,
,16,水搬送経路の密閉化,水搬送,空調,熱源,0.16,,
,17,蒸気弁・フランジ部の断熱,熱源本体,空調,熱源,0.007,,
,18,熱源の台数制御の導入,熱源本体,空調,熱源,0.015,,
,19,冷却塔ファン等の台数制御又は発停制御の導入,熱源補機,空調,冷却塔,0.03,,
,20,空調2次ポンプ変流量制御の導入,水搬送,空調,熱源,0.18,,
,21,空調2次ポンプの適正容量分割又は小容量ポンプの導入,水搬送,空調,熱源,0.11,,
,22,熱源機器出口設定温度の遠方制御の導入,熱源本体,空調,熱源,0.006,,
,23,空調1次ポンプ変流量制御の導入,熱源本体,空調,熱源,0.088,,
,24,冷却水ポンプ変流量制御の導入,熱源補機,空調,冷却塔,0.1,,
,25,空調2次ポンプの末端差圧制御の導入,水搬送,空調,熱源,0.1,,
,26,熱交換器の断熱,熱源本体,空調,熱源,0.007,,
,27,蓄熱システムの導入,熱源本体,空調,,0.05,,
,28,高効率コージェネレーションの導入,熱源本体,空調,,0.05,,
,29,冷却塔ファンインバータ制御の導入,熱源補機,空調,冷却塔,0.03,,
,30,フリークーリングシステムの導入,熱負荷,空調,,0.006,,
,31,潜熱利用搬送システムの導入,水搬送,空調,熱源,0.15,,
