ENERGY_CODE,CATEGORY,ENERGY_NAME,ENERGY_UNITS,UNIT_HEAT_GENERATION,UNIT_HEAT_GENERATION_UNITS,EMISSION_COEFFICIENT,EMISSION_COEFFICIENT_UNITS,PRIMARY_EMISSION_COEFFICIENT,PRIMARY_EMISSION_COEFFICIENT_UNITS,CONVERSION_VALUE,CONVERSION_VALUE_UNITS,START_DATE,END_DATE,FISCAL_YEAR,CREATION_DATETIME,CREATOR
1,燃料及び熱,A重油,L,39.1,GJ/kL,0.0189,tC/GJ,39.1,MJ/L,2.7096,tCO2/kL,,,2022,,
2,燃料及び熱,B重油,L,41.9,GJ/kL,0.0195,tC/GJ,1,,2.9959,tCO2/kL,,,2022,,
3,燃料及び熱,C重油,L,41.9,GJ/kL,0.0195,tC/GJ,1,,2.9959,tCO2/kL,,,2022,,
4,燃料及び熱,軽油,L,37.7,GJ/kL,0.0187,tC/GJ,1,,2.585,tCO2/kL,,,2022,,
5,燃料及び熱,灯油,L,36.7,GJ/kL,0.0185,tC/GJ,36.7,MJ/L,2.4895,tCO2/kL,,,2022,,
6,燃料及び熱,ガソリン,L,34.6,GJ/kL,0.0183,tC/GJ,1,,2.3217,tCO2/kL,,,2022,,
7,燃料及び熱,都市ガス,Nm3,45,GJ/千Nm3,0.0136,tC/GJ,45,MJ/m3,2.244,tCO2/千Nm3,,,2022,,
8,燃料及び熱,LPG,kg,50.8,GJ/t,0.0161,tC/GJ,1,,2.9989,tCO2/t,,,2022,,
9,燃料及び熱,産業用蒸気,MJ,1.02,GJ/GJ,,,1,,0,tCO2/GJ,,,2022,,
10,燃料及び熱,産業用以外の蒸気,MJ,1.36,GJ/GJ,,,1,,0,tCO2/GJ,,,2022,,
11,燃料及び熱,温水,MJ,1.36,GJ/GJ,,,1,,0,tCO2/GJ,,,2022,,
12,燃料及び熱,冷水,MJ,1.36,GJ/GJ,,,1,,0,tCO2/GJ,,,2022,,
13,燃料及び熱,原油(コンデンセートを除く),L,38.2,GJ/kL,0.0187,tC/GJ,1,,2.6192,tCO2/kL,,,2022,,
14,燃料及び熱,原油のうちコンデンセート(NGL),L,35.3,GJ/kL,0.0184,tC/GJ,1,,2.3816,tCO2/kL,,,2022,,
15,燃料及び熱,ナフサ,L,33.6,GJ/kL,0.0182,tC/GJ,1,,2.2422,tCO2/kL,,,2022,,
16,燃料及び熱,石油アスファルト,kg,40.9,GJ/t,0.0208,tC/GJ,1,,3.1193,tCO2/t,,,2022,,
17,燃料及び熱,石油コークス,kg,29.9,GJ/t,0.0254,tC/GJ,1,,2.7847,tCO2/t,,,2022,,
18,燃料及び熱,LNG,kg,54.6,GJ/t,0.0135,tC/GJ,1,,2.7027,tCO2/t,,,2022,,
19,燃料及び熱,石油系炭化水素ガス,Nm3,44.9,GJ/千Nm3,0.0142,tC/GJ,1,,2.3378,tCO2/千Nm3,,,2022,,
20,燃料及び熱,その他可燃性天然ガス,Nm3,43.5,GJ/千Nm3,0.0139,tC/GJ,1,,2.2171,tCO2/千Nm3,,,2022,,
21,燃料及び熱,原料炭,kg,29,GJ/t,0.0245,tC/GJ,1,,2.6052,tCO2/t,,,2022,,
22,燃料及び熱,一般炭,kg,25.7,GJ/t,0.0247,tC/GJ,1,,2.3276,tCO2/t,,,2022,,
23,燃料及び熱,無煙炭,kg,26.9,GJ/t,0.0255,tC/GJ,1,,2.5152,tCO2/t,,,2022,,
24,燃料及び熱,石炭コークス,kg,29.4,GJ/t,0.0294,tC/GJ,1,,3.1693,tCO2/t,,,2022,,
25,燃料及び熱,コールタール,kg,37.3,GJ/t,0.0209,tC/GJ,1,,2.8584,tCO2/t,,,2022,,
26,燃料及び熱,コークス炉ガス,Nm3,21.1,GJ/千Nm3,0.011,tC/GJ,1,,0.851,tCO2/千Nm3,,,2022,,
27,燃料及び熱,高炉ガス,Nm3,3.41,GJ/千Nm3,0.0263,tC/GJ,1,,0.3288,tCO2/千Nm3,,,2022,,
28,燃料及び熱,転炉ガス,Nm3,8.41,GJ/千Nm3,0.0384,tC/GJ,1,,1.1841,tCO2/千Nm3,,,2022,,
29,燃料及び熱,ジェット燃料油,L,36.7,GJ/kL,0.0183,tC/GJ,1,,2.4626,tCO2/kL,,,2022,,
30,その他,電力,kWh,9.76,GJ/千kWh,,,9.76,MJ/kWh,0.489,tCO2/千kWh,,,2022,,
31,その他,水道および工業用水,m3,,,,,1,,0,tCO2/千m3,,,2022,,
32,その他,公共下水道,m3,,,,,1,,0,tCO2/千m3,,,2022,,
