REGISTRATION_NUMBER,ELECTRIC_UTILITY_COMPANY_NAME,BASELINE_EMISSION_FACTOR,ADJUSTED_EMISSION_FACTOR,FISCAL_YEAR,MENU_ID,MENU_NAME,START_DATE,END_DATE,CREATION_DATETIME,CREATOR
0,全国平均,0.000488,,2018,,,,,,
0,全国平均,0.00047,,2019,,,,,,
0,全国平均,0.000453,,2020,,,,,,
0,全国平均,0.000453,,2021,,,,,,
1,北海道電力ネットワーク株式会社,0.000462,0.000462,2018,,,,,,
1,北海道電力ネットワーク株式会社,0.000445,0.000445,2019,,,,,,
1,北海道電力ネットワーク株式会社,0.000433,0.0004333,2020,,,,,,
1,北海道電力ネットワーク株式会社,0.000435,0.000435,2021,,,,,,
2,東北電力ネットワーク株式会社 ,0.000462,0.000462,2018,,,,,,
2,東北電力ネットワーク株式会社 ,0.000445,0.000445,2019,,,,,,
2,東北電力ネットワーク株式会社 ,0.000433,0.0004333,2020,,,,,,
2,東北電力ネットワーク株式会社 ,0.000435,0.000435,2021,,,,,,
3,東京電力パワーグリッド株式会社 ,0.000462,0.000462,2018,,,,,,
3,東京電力パワーグリッド株式会社 ,0.000445,0.000445,2019,,,,,,
3,東京電力パワーグリッド株式会社 ,0.000433,0.0004333,2020,,,,,,
3,東京電力パワーグリッド株式会社 ,0.000435,0.000435,2021,,,,,,
4,中部電力パワーグリッド株式会社,0.000462,0.000462,2018,,,,,,
4,中部電力パワーグリッド株式会社,0.000445,0.000445,2019,,,,,,
4,中部電力パワーグリッド株式会社,0.000433,0.0004333,2020,,,,,,
4,中部電力パワーグリッド株式会社,0.000435,0.000435,2021,,,,,,
5,北陸電力送配電株式会社 ,0.000462,0.000462,2018,,,,,,
5,北陸電力送配電株式会社 ,0.000445,0.000445,2019,,,,,,
5,北陸電力送配電株式会社 ,0.000433,0.0004333,2020,,,,,,
5,北陸電力送配電株式会社 ,0.000435,0.000435,2021,,,,,,
6,関西電力送配電株式会社,0.000462,0.000462,2018,,,,,,
6,関西電力送配電株式会社,0.000445,0.000445,2019,,,,,,
6,関西電力送配電株式会社,0.000433,0.0004333,2020,,,,,,
6,関西電力送配電株式会社,0.000435,0.000435,2021,,,,,,
7,中国電力ネットワーク株式会社,0.000462,0.000462,2018,,,,,,
7,中国電力ネットワーク株式会社,0.000445,0.000445,2019,,,,,,
7,中国電力ネットワーク株式会社,0.000433,0.0004333,2020,,,,,,
7,中国電力ネットワーク株式会社,0.000435,0.000435,2021,,,,,,
8,四国電力送配電株式会社,0.000462,0.000462,2018,,,,,,
8,四国電力送配電株式会社,0.000445,0.000445,2019,,,,,,
8,四国電力送配電株式会社,0.000433,0.0004333,2020,,,,,,
8,四国電力送配電株式会社,0.000435,0.000435,2021,,,,,,
9,九州電力送配電株式会社,0.000462,0.000462,2018,,,,,,
9,九州電力送配電株式会社,0.000445,0.000445,2019,,,,,,
9,九州電力送配電株式会社,0.000433,0.0004333,2020,,,,,,
9,九州電力送配電株式会社,0.000435,0.000435,2021,,,,,,
10,沖縄電力株式会社,0.000741,0.00072,2018,,,,,,
10,沖縄電力株式会社,0.000722,0.000696,2019,,,,,,
10,沖縄電力株式会社,0.000731,0.000692,2020,,,,,,
10,沖縄電力株式会社,0.000693,0.000649,2021,,,,,,
A0001,株式会社Ｆ－Ｐｏｗｅｒ,0.000508,0.000527,2018,,,,,,
A0001,株式会社Ｆ－Ｐｏｗｅｒ,0.000448,0.000513,2019,,,,,,
A0001,株式会社Ｆ－Ｐｏｗｅｒ,0.000477,0.000513,2020,,,,,,
A0001,株式会社Ｆ－Ｐｏｗｅｒ,0.000472,0.000481,2021,,,,,,
A0002,イーレックス株式会社,0.000416,0.000597,2018,,,,,,
A0002,イーレックス株式会社,0.000385,0.000825,2019,,,,,,
A0002,イーレックス株式会社,0.00047,0.000499,2020,,,,,,
A0002,イーレックス株式会社,0.000453,0.000453,2021,,,,,,
A0003,リエスパワー株式会社 ,0.000503,0,2018,,,,,,
A0003,リエスパワー株式会社 ,0.000445,0,2019,,,,,,
A0003,リエスパワー株式会社 ,0.000556,0,2020,,,,,,
A0003,リエスパワー株式会社 ,0.000368,0,2021,,,,,,
A0004,エバーグリーン・リテイリング株式会社,0.000538,0.000492,2018,,,,,,
A0004,エバーグリーン・リテイリング株式会社,0.00078,0.000731,2019,,,,,,
A0004,エバーグリーン・リテイリング株式会社,0.000619,0.000731,2020,,,,,,
A0004,エバーグリーン・リテイリング株式会社,0.000548,0.000428,2021,,,,,,
A0005,,,,2018,,,,,,
A0005,,,,2019,,,,,,
A0005,,,,2020,,,,,,
A0005,,,,2021,,,,,,
A0006,エバーグリーン・マーケティング株式会社,0.000316,0.000439,2018,,,,,,
A0006,エバーグリーン・マーケティング株式会社,0.000308,0.000432,2019,,,,,,
A0006,エバーグリーン・マーケティング株式会社,0.000435,0.000432,2020,,,,,,
A0006,エバーグリーン・マーケティング株式会社,0.000535,0.000548,2021,,,,,,
A0007,株式会社ＳＥウイングズ ,0.000477,0.00047,2018,,,,,,
A0007,株式会社ＳＥウイングズ ,0.000371,0.000378,2019,,,,,,
A0007,株式会社ＳＥウイングズ ,0.000427,0.000521,2020,,,,,,
A0007,株式会社ＳＥウイングズ ,0.000262,0.000401,2021,,,,,,
A0008,株式会社イーセル ,0.000452,0.00048,2018,,,,,,
A0008,株式会社イーセル ,0.00047,0.000482,2019,,,,,,
A0008,株式会社イーセル ,0.000458,0.000496,2020,,,,,,
A0008,株式会社イーセル ,0.000475,0.000482,2021,,,,,,
A0009,株式会社エネット,0.000426,0.00045,2018,,,,,,
A0009,株式会社エネット,0.000391,0.000408,2019,,,,,,
A0009,株式会社エネット,0.000373,0.000408,2020,,,,,,
A0009,株式会社エネット,0.000405,0.000372,2021,,,,,,
A0010,,,,2018,,,,,,
A0010,,,,2019,,,,,,
A0010,,,,2020,,,,,,
A0010,,,,2021,,,,,,
A0011,須賀川瓦斯株式会社 ,0.000481,0.000523,2018,,,,,,
A0011,須賀川瓦斯株式会社 ,0.000501,0.000509,2019,,,,,,
A0011,須賀川瓦斯株式会社 ,0.000419,0.000425,2020,,,,,,
A0011,須賀川瓦斯株式会社 ,0.000431,0.000425,2021,,,,,,
A0012,出光興産株式会社,0.000517,0.000597,2018,,,,,,
A0012,出光興産株式会社,0.000406,0.000467,2019,,,,,,
A0012,出光興産株式会社,0.000485,0.000467,2020,,,,,,
A0012,出光興産株式会社,0.000451,0.00054,2021,,,,,,
A0013,株式会社オプテージ,0.000578,0.000586,2018,,,,,,
A0013,株式会社オプテージ,0.000553,0.000566,2019,,,,,,
A0013,株式会社オプテージ,0.000557,0.000525,2020,,,,,,
A0013,株式会社オプテージ,0.000547,0.000506,2021,,,,,,
A0014,エネサーブ株式会社 ,0.000424,0.000707,2018,,,,,,
A0014,エネサーブ株式会社 ,0.000365,0.000636,2019,,,,,,
A0014,エネサーブ株式会社 ,0.000347,0.0000636,2020,,,,,,
A0014,エネサーブ株式会社 ,0.000432,0.000568,2021,,,,,,
A0015,株式会社エネワンでんき,0.000461,0.000514,2018,,,,,,
A0015,株式会社エネワンでんき,0.00048,0.000528,2019,,,,,,
A0015,株式会社エネワンでんき,0.000382,0.000528,2020,,,,,,
A0015,株式会社エネワンでんき,0.000499,0.000407,2021,,,,,,
A0016,ミツウロコグリーンエネルギー株式会社 ,0.000309,0.000474,2018,,,,,,
A0016,ミツウロコグリーンエネルギー株式会社 ,0.000334,0.000491,2019,,,,,,
A0016,ミツウロコグリーンエネルギー株式会社 ,0.000344,0.000491,2020,,,,,,
A0016,ミツウロコグリーンエネルギー株式会社 ,0.000342,0.000462,2021,,,,,,
A0017,株式会社Ｓｈａｒｅｄ　Ｅｎｅｒｇｙ,0.000621,0.000675,2018,,,,,,
A0017,株式会社Ｓｈａｒｅｄ　Ｅｎｅｒｇｙ,0.000519,0.000545,2019,,,,,,
