BUILDING_USAGE,FISCAL_YEAR,ENERGY_CATEGORY_DIV,ENERGY_CATEGORY_NAME,ENERGY_SUB_DIV,ENERGY_SUB_NAME,VALUE,CREATION_DATETIME,CREATOR
1,2023,A01,熱源,A0101,熱源本体,0.25800,,
1,2023,A01,熱源,A0102,熱源補機,0.04500,,
1,2023,A02,熱搬送,A0201,水搬送,0.03100,,
1,2023,A02,熱搬送,A0202,空気搬送,0.11800,,
1,2023,A03,給湯,A0301,給湯,0.01400,,
1,2023,A04,照明・コンセント,A0401,照明,0.20200,,
1,2023,A04,照明・コンセント,A0402,コンセント,0.18400,,
1,2023,A05,動力,A0501,換気,0.06200,,
1,2023,A05,動力,A0502,給排水,0.00800,,
1,2023,A05,動力,A0503,昇降機,0.02500,,
1,2023,A06,その他,A0601,その他,0.05300,,
1,2023,A07,熱負荷低減,A0701,外皮,0.05000,,
1,2023,A07,熱負荷低減,A0702,外気,0.13600,,
1,2023,A07,熱負荷低減,A0703,熱負荷,0.45200,,
1,2023,B01,一次エネ消費原単位,,,1740.000,,
1,2023,C01,空調,,,"1.0000",,
1,2023,C02,換気,,,"1.0000",,
1,2023,C03,他,,,"1.0000",,
1,2023,C04,安全率,,,"1.0000",,
1,2023,C05,範囲補正係数,,,"1.0000",,
2,2023,A01,熱源,A0101,熱源本体,"0.24700",,
2,2023,A01,熱源,A0102,熱源補機,"0.04400",,
2,2023,A02,熱搬送,A0201,水搬送,"0.01100",,
2,2023,A02,熱搬送,A0202,空気搬送,"0.04000",,
2,2023,A03,給湯,A0301,給湯,"0.00900",,
2,2023,A04,照明・コンセント,A0401,照明,"0.20800",,
2,2023,A04,照明・コンセント,A0402,コンセント,"0.19200",,
2,2023,A05,動力,A0501,換気,"0.12800",,
2,2023,A05,動力,A0502,給排水,"0.00900",,
2,2023,A05,動力,A0503,昇降機,"0.05400",,
2,2023,A06,その他,A0601,その他,"0.05800",,
2,2023,A07,熱負荷低減,A0701,外皮,"0.02700",,
2,2023,A07,熱負荷低減,A0702,外気,"0.10200",,
2,2023,A07,熱負荷低減,A0703,熱負荷,"0.34000",,
2,2023,B01,一次エネ消費原単位,,,2410.0000,,
2,2023,C01,空調,,,"1.1330",,
2,2023,C02,換気,,,"0.9000",,
2,2023,C03,他,,,"1.0000",,
2,2023,C04,安全率,,,"1.0000",,
2,2023,C05,範囲補正係数,,,"1.0000",,
3,2023,A01,熱源,A0101,熱源本体,"0.24700",,
3,2023,A01,熱源,A0102,熱源補機,"0.04400",,
3,2023,A02,熱搬送,A0201,水搬送,"0.01100",,
3,2023,A02,熱搬送,A0202,空気搬送,"0.04000",,
3,2023,A03,給湯,A0301,給湯,"0.00900",,
3,2023,A04,照明・コンセント,A0401,照明,"0.20800",,
3,2023,A04,照明・コンセント,A0402,コンセント,"0.19200",,
3,2023,A05,動力,A0501,換気,"0.12800",,
