LARGE_CATEGORY_CODE,LARGE_CATEGORY_NAME,MEDIUM_CATEGORY_CODE,MEDIUM_CATEGORY_NAME,SMALL_CATEGORY_CODE,DETAIL_CATEGORY_CODE,INDUSTRY_CLASSIFICATION_NAME,START_DATE,END_DATE,CREATION_DATETIME,CREATOR
A,農業，林業,-,,-,A,農業，林業,,,,
A,農業，林業,01,農業,-,01,農業,,,,
A,農業，林業,01,農業,010,010,管理，補助的経済活動を行う事業所,,,,
A,農業，林業,01,農業,011,011,耕種農業,,,,
A,農業，林業,01,農業,012,012,畜産農業,,,,
A,農業，林業,01,農業,013,013,農業サービス業（園芸サービス業を除く）,,,,
A,農業，林業,01,農業,014,014,園芸サービス業,,,,
A,農業，林業,02,林業,-,02,林業,,,,
A,農業，林業,02,林業,020,020,管理，補助的経済活動を行う事業所,,,,
A,農業，林業,02,林業,021,021,育林業,,,,
A,農業，林業,02,林業,022,022,素材生産業,,,,
A,農業，林業,02,林業,023,023,特用林産物生産業（きのこ類の栽培を除く）,,,,
A,農業，林業,02,林業,024,024,林業サービス業,,,,
A,農業，林業,02,林業,029,029,その他の林業,,,,
B,漁業,-,,-,B,漁業,,,,
B,漁業,03,漁業（水産養殖業を除く）,-,03,漁業（水産養殖業を除く）,,,,
B,漁業,03,漁業（水産養殖業を除く）,030,030,管理，補助的経済活動を行う事業所,,,,
B,漁業,03,漁業（水産養殖業を除く）,031,031,海面漁業,,,,
B,漁業,03,漁業（水産養殖業を除く）,032,032,内水面漁業,,,,
B,漁業,04,水産養殖業,-,04,水産養殖業,,,,
B,漁業,04,水産養殖業,040,040,管理，補助的経済活動を行う事業所,,,,
B,漁業,04,水産養殖業,041,041,海面養殖業,,,,
B,漁業,04,水産養殖業,042,042,内水面養殖業,,,,
C,鉱業，採石業，砂利採取業,-,,-,C,鉱業，採石業，砂利採取業,,,,
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,-,05,鉱業，採石業，砂利採取業,,,,
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,050,050,管理，補助的経済活動を行う事業所,,,,
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,051,051,金属鉱業,,,,
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,052,052,石炭・亜炭鉱業,,,,
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,053,053,原油・天然ガス鉱業,,,,
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,054,054,採石業，砂・砂利・玉石採取業,,,,
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,055,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,,,,
C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,059,059,その他の鉱業,,,,
D,建設業,-,,-,D,建設業,,,,
D,建設業,06,総合工事業,-,06,総合工事業,,,,
D,建設業,06,総合工事業,060,060,管理，補助的経済活動を行う事業所,,,,
D,建設業,06,総合工事業,061,061,一般土木建築工事業,,,,
D,建設業,06,総合工事業,062,062,土木工事業（舗装工事業を除く）,,,,
