IDENTIFY_CD,CATEGORY_CD,CATEGORY_NAME,SUB_CATEGORY_CD,SUB_CATEGORY_NAME,KBN_CD,KBN_NAME,KBN_SORT,CREATION_DATETIME,CREATOR
A0,A,建物耐震基準,,,0,新耐震,1,,
A1,A,建物耐震基準,,,1,旧耐震,2,,
BS012,B,ガスの使用用途,S01,給湯用,2,都市ガス,1,,
BS021,B,ガスの使用用途,S02,給湯用,1,LPG,2,,
BS030,B,ガスの使用用途,S03,給湯用,0,-,3,,
BS012,B,ガスの使用用途,S01,生産用,2,都市ガス,1,,
BS021,B,ガスの使用用途,S02,生産用,1,LPG,2,,
BS030,B,ガスの使用用途,S03,生産用,0,-,3,,
BS012,B,ガスの使用用途,S01,空調用,2,都市ガス,1,,
BS021,B,ガスの使用用途,S02,空調用,1,LPG,2,,
BS030,B,ガスの使用用途,S03,空調用,0,-,3,,
C0,C,空調方式,,,0,セントラル空調,1,,
C1,C,空調方式,,,1,個別,2,,
D1,D,空調入れ替え有無,,,1,有,1,,
D0,D,空調入れ替え有無,,,0,無,2,,
ES012,E,再エネ利用状況,S01,発電設備,2,導入済み,1,,
ES021,E,再エネ利用状況,S02,発電設備,1,導入なし(意向あり),2,,
ES030,E,再エネ利用状況,S03,発電設備,0,導入なし(意向なし),3,,
ES012,E,再エネ利用状況,S01,再エネ電力,2,導入済み,1,,
ES021,E,再エネ利用状況,S02,再エネ電力,1,導入なし(意向あり),2,,
ES030,E,再エネ利用状況,S03,再エネ電力,0,導入なし(意向なし),3,,
ES012,E,再エネ利用状況,S01,環境証書,2,導入済み,1,,
ES021,E,再エネ利用状況,S02,環境証書,1,導入なし(意向あり),2,,
ES030,E,再エネ利用状況,S03,環境証書,0,導入なし(意向なし),3,,
